Player_Name,Full_Name,Country,Role,Primary_Batting_Phase,Best_to_Worst_Venues,General_Fielding_Position,Loose_Fielding_Position,Total_Dropped_Catches,Clash_Pace_Tactic,Clash_Spin_Tactic,Batting_Against_Him_Tactic,Coach_Tape_Suggestion,Primary_Threat_Bowler,Primary_Nightmare_Batter,Overall_Bat_SR,Pressure_Bat_SR_Death,Overall_Bowl_Econ,Pressure_Bowl_Econ_Death,Wickets,Balls_Bowled,Team
L Wood,Luke Wood,England,New Addition,Death Over Finisher,Neutral Venues,Unknown,Not Available,0,Commit fully to wide pace-off cutters dug into the pitch. Do not bowl at the stumps.,Bowl flat darts aimed at the base of the stumps. Do not offer flight.,Not a regular bowler. Focus purely on strike rotation if they are brought on.,Lethal lower-order hitter. Deny them the arc. Force them to reach for dipping slower balls.,Not Available,Not Available,300.0,300.0,14.68,19.29,1,38,Mumbai Indians
KT Maphaka,Kwena Maphaka,South Africa,New Addition,Death Over Finisher,Neutral Venues,Unknown,Not Available,0,Commit fully to wide pace-off cutters dug into the pitch. Do not bowl at the stumps.,Bowl flat darts aimed at the base of the stumps. Do not offer flight.,Not a regular bowler. Focus purely on strike rotation if they are brought on.,Lethal lower-order hitter. Deny them the arc. Force them to reach for dipping slower balls.,Not Available,Not Available,266.7,266.7,12.08,14.57,2,71,Rajasthan Royals
B Stanlake,Billy Stanlake,Australia,Bowler,Death Over Finisher,Rajiv Gandhi International Stadium,Unknown,Not Available,0,Commit fully to wide pace-off cutters dug into the pitch. Do not bowl at the stumps.,Bowl flat darts aimed at the base of the stumps. Do not offer flight.,Play out their good deliveries on merit. Look to capitalize on the missed yorker at the death.,Solid squad bowler. Exploit their lack of raw pace with calculated aggression.,Not Available,SV Samson,250.0,250.0,8.0,11.0,7,150,Sunrisers Hyderabad
V Suryavanshi,Vaibhav Suryavanshi,India,Batsman,Top Order Aggressor,"Sawai Mansingh Stadium, Jaipur > Barsapara Cricket Stadium, Guwahati > Arun Jaitley Stadium, Delhi",Unknown,Not Available,0,Target the front pad with sharp inswing early in the spell. Highly vulnerable in the first 10 balls.,Use flight and variations in pace. Drag them wide of the crease to induce a sliced drive.,Not a regular bowler. Focus purely on strike rotation if they are brought on.,Explosive top-order threat. Deny them width early and attack the pads to disrupt their timing.,B Kumar,Not Available,215.1,0.0,0.0,0.0,0,0,Rajasthan Royals
Umar Gul,Umar Gul,Pakistan,Bowler,Death Over Finisher,Eden Gardens > Sawai Mansingh Stadium,Unknown,Not Available,0,Commit fully to wide pace-off cutters dug into the pitch. Do not bowl at the stumps.,Bowl flat darts aimed at the base of the stumps. Do not offer flight.,Elite threat. Treat with immense respect. Focus on rotating the strike and attacking others.,Frontline strike bowler. See off their best spells and attack the weaker backups.,Not Available,YK Pathan,205.3,205.3,7.22,9.74,12,153,Kolkata Knight Riders
Auqib Nabi,Auqib Nabi,India,New Addition,Middle Order Anchor,Neutral Venues,Unknown,Not Available,0,Deploy slow off-cutters gripping into the pitch outside the off-stump.,Use high-quality wrist spin tossed up wide to invite the mistimed slog sweep.,Not a regular bowler. Focus purely on strike rotation if they are brought on.,Middle-order anchor. Build dot-ball pressure with tight lines to force a frustrated lofted shot.,Not Available,PD Salt,200.0,0.0,12.26,0.0,0,46,Delhi Capitals
RS Sodhi,Reetinder Singh Sodhi,India,New Addition,Death Over Finisher,Neutral Venues,Unknown,Not Available,0,Commit fully to wide pace-off cutters dug into the pitch. Do not bowl at the stumps.,Bowl flat darts aimed at the base of the stumps. Do not offer flight.,Not a regular bowler. Focus purely on strike rotation if they are brought on.,Lethal lower-order hitter. Deny them the arc. Force them to reach for dipping slower balls.,Not Available,Not Available,200.0,200.0,0.0,0.0,0,0,Kings XI Punjab
Urvil Patel,Urvil Patel,India,Batsman,Top Order Aggressor,Neutral Venues,Unknown,Not Available,0,Target the front pad with sharp inswing early in the spell. Highly vulnerable in the first 10 balls.,Use flight and variations in pace. Drag them wide of the crease to induce a sliced drive.,Not a regular bowler. Focus purely on strike rotation if they are brought on.,Explosive top-order threat. Deny them width early and attack the pads to disrupt their timing.,Not Available,Not Available,194.6,0.0,0.0,0.0,0,0,Chennai Super Kings
Priyansh Arya,Priyansh Arya,India,Batsman,Top Order Aggressor,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh > Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur > Narendra Modi Stadium, Ahmedabad > Sawai Mansingh Stadium, Jaipur",Unknown,Not Available,0,Target the front pad with sharp inswing early in the spell. Highly vulnerable in the first 10 balls.,Use flight and variations in pace. Drag them wide of the crease to induce a sliced drive.,Not a regular bowler. Focus purely on strike rotation if they are brought on.,Explosive top-order threat. Deny them width early and attack the pads to disrupt their timing.,JR Hazlewood,Not Available,192.6,0.0,0.0,0.0,0,0,Punjab Kings
J Fraser-McGurk,Jake Fraser-McGurk,Australia,Batsman,Top Order Aggressor,"Arun Jaitley Stadium, Delhi > Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Unknown,Not Available,0,Hits blindly through the line of the ball. Highly vulnerable to dipping off-cutters and pace-off variations.,Toss the ball up extremely wide to force him to lose his shape.,Not a regular bowler.,Ultra-aggressive hitter. Take all the pace off the ball and let him swing himself out of form.,S Sandeep Warrier,Not Available,189.7,0.0,0.0,0.0,0,0,Delhi Capitals
