Player_Name,Primary_Position,Out_Of_Position_Vulnerability,Drops_In_Vulnerability,Total_Career_Drops
Abdul Samad,Long On,Deep Mid-Wicket,1,2
A Tomar,Third Man,Third Man,1,1
A Manohar,Deep Mid-Wicket,Deep Mid-Wicket,1,1
Abhishek Sharma,Long On,Long On,1,1
Akash Deep,Fine Leg / Mid-On,Deep Point,1,3
AS Joseph,Third Man,Third Man,1,1
AT Rayudu,Cover,Cover,1,1
Anuj Rawat,Deep Mid-Wicket,Deep Mid-Wicket,1,1
Arshdeep Singh,Deep Mid-Wicket,Fine Leg,1,3
Atharva Taide,Deep Square Leg,Deep Square Leg,1,1
AR Patel,Deep Mid-Wicket,Extra Cover,1,4
C Green,Long On,Long On,2,2
Cariappa,Deep Point,Not Available,0,0
CH Morris,Long On,Long On,1,1
DG Nalkande,Deep Mid-Wicket,Deep Mid-Wicket,1,1
DJ Mitchell,Long Off,Long Off,1,1
DA Miller,Deep Mid-Wicket,Long On,1,2
DL Chahar,Point,Deep Square Leg,1,3
DJ Hooda,Deep Mid-Wicket,Deep Mid-Wicket,1,1
D Padikkal,Long On,Point,1,5
Dinesh Karthik,Wicketkeeper,Wicketkeeper,3,3
EJG Morgan,Extra Cover,Extra Cover,1,1
F du Plessis,Long On,Mid-Off,1,2
GHS Garton,Deep Square Leg,Deep Square Leg,1,1
GJ Maxwell,Deep Mid-Wicket,Long On,3,11
HH Pandya,Long On,Mid-Off,2,7
Harpreet Brar,Deep Mid-Wicket,Deep Mid-Wicket,1,1
HV Patel,Deep Mid-Wicket,Fine Leg,1,7
Harshit Rana,Short Third Man,Long On,2,4
H Klaasen,Wicketkeeper,Wicketkeeper,1,1
HR Shokeen,Long Off,Long Off,1,1
Ishan Kishan,Wicketkeeper,Wicketkeeper,7,7
Jalaj S Saxena,Deep Square Leg,Deep Square Leg,1,1
JC Archer,Short Third Man,Mid-Off,1,4
JM Bairstow,First Slip,First Slip,1,1
