Player_Name,Full_Name,Country,Role,Primary_Batting_Phase,Best_to_Worst_Venues,General_Fielding_Position,Loose_Fielding_Position,Total_Dropped_Catches,Clash_Pace_Tactic,Clash_Spin_Tactic,Batting_Against_Him_Tactic,Coach_Tape_Suggestion,Primary_Threat_Bowler,Primary_Nightmare_Batter,Overall_Bat_SR,Pressure_Bat_SR_Death,Overall_Bowl_Econ,Pressure_Bowl_Econ_Death,Wickets,Balls_Bowled
L Wood,Not Available,Not Available,New Addition,Death Over Finisher,Neutral Venues,Unknown,Not Available,0,Execute standard death-over strategies: wide yorkers and back-of-a-length slower balls.,Vary pace and trajectory. Aim for the rough patches to induce a false shot.,Prime target for the death overs. Attack him aggressively late in the innings as he loses his length under pressure. ,L Wood is a Death Over Finisher. Strongest at most grounds.,Not Available,Not Available,300.0,300.0,14.68,19.29,1,38
KT Maphaka,Not Available,Not Available,New Addition,Death Over Finisher,Neutral Venues,Unknown,Not Available,0,Execute standard death-over strategies: wide yorkers and back-of-a-length slower balls.,Vary pace and trajectory. Aim for the rough patches to induce a false shot.,Prime target for the death overs. Attack him aggressively late in the innings as he loses his length under pressure. ,KT Maphaka is a Death Over Finisher. Strongest at most grounds.,Not Available,Not Available,266.7,266.7,12.08,14.57,2,71
B Stanlake,Not Available,Not Available,Bowler,Death Over Finisher,Rajiv Gandhi International Stadium,Unknown,Not Available,0,Execute standard death-over strategies: wide yorkers and back-of-a-length slower balls.,Vary pace and trajectory. Aim for the rough patches to induce a false shot.,"Prime target for the death overs. Attack him aggressively late in the innings as he loses his length under pressure. Historically, SV Samson completely owns this bowler. Emulate that aggressive footprint.",B Stanlake is a Death Over Finisher. Strongest at Rajiv Gandhi International Stadium. Keep away from SV Samson who hits them at will.,Not Available,SV Samson,250.0,250.0,8.0,11.0,7,150
V Suryavanshi,Not Available,Not Available,Batsman,Top Order Aggressor,"Sawai Mansingh Stadium, Jaipur > Barsapara Cricket Stadium, Guwahati > Arun Jaitley Stadium, Delhi",Unknown,Not Available,0,Execute standard death-over strategies: wide yorkers and back-of-a-length slower balls.,Vary pace and trajectory. Aim for the rough patches to induce a false shot.,Target this bowler aggressively. High economy rate suggests frequent boundary deliveries. Look for gaps early. ,"V Suryavanshi is a Top Order Aggressor. Strongest at Sawai Mansingh Stadium, Jaipur. Beware of B Kumar who owns this matchup.",B Kumar,Not Available,215.1,0.0,0.0,0.0,0,0
Umar Gul,Not Available,Not Available,Bowler,Death Over Finisher,Eden Gardens > Sawai Mansingh Stadium,Unknown,Not Available,0,Execute standard death-over strategies: wide yorkers and back-of-a-length slower balls.,Vary pace and trajectory. Aim for the rough patches to induce a false shot.,"Play out his deliveries on merit and wait for loose balls. Historically, YK Pathan completely owns this bowler. Emulate that aggressive footprint.",Umar Gul is a Death Over Finisher. Strongest at Eden Gardens. Keep away from YK Pathan who hits them at will.,Not Available,YK Pathan,205.3,205.3,7.22,9.74,12,153
Auqib Nabi,Not Available,Not Available,New Addition,Middle Order Anchor,Neutral Venues,Unknown,Not Available,0,Execute standard death-over strategies: wide yorkers and back-of-a-length slower balls.,Vary pace and trajectory. Aim for the rough patches to induce a false shot.,"Target this bowler aggressively. High economy rate suggests frequent boundary deliveries. Look for gaps early. Historically, PD Salt completely owns this bowler. Emulate that aggressive footprint.",Auqib Nabi is a Middle Order Anchor. Strongest at most grounds.,Not Available,PD Salt,200.0,0.0,12.26,0.0,0,46
RS Sodhi,Not Available,Not Available,New Addition,Death Over Finisher,Neutral Venues,Unknown,Not Available,0,Execute standard death-over strategies: wide yorkers and back-of-a-length slower balls.,Vary pace and trajectory. Aim for the rough patches to induce a false shot.,Target this bowler aggressively. High economy rate suggests frequent boundary deliveries. Look for gaps early. ,RS Sodhi is a Death Over Finisher. Strongest at most grounds.,Not Available,Not Available,200.0,200.0,0.0,0.0,0,0
Urvil Patel,Not Available,Not Available,Batsman,Top Order Aggressor,Neutral Venues,Unknown,Not Available,0,Execute standard death-over strategies: wide yorkers and back-of-a-length slower balls.,Vary pace and trajectory. Aim for the rough patches to induce a false shot.,Target this bowler aggressively. High economy rate suggests frequent boundary deliveries. Look for gaps early. ,Urvil Patel is a Top Order Aggressor. Strongest at most grounds.,Not Available,Not Available,194.6,0.0,0.0,0.0,0,0
Priyansh Arya,Not Available,Not Available,Batsman,Top Order Aggressor,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh > Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur > Narendra Modi Stadium, Ahmedabad > Sawai Mansingh Stadium, Jaipur",Unknown,Not Available,0,Execute standard death-over strategies: wide yorkers and back-of-a-length slower balls.,Vary pace and trajectory. Aim for the rough patches to induce a false shot.,Target this bowler aggressively. High economy rate suggests frequent boundary deliveries. Look for gaps early. ,"Priyansh Arya is a Top Order Aggressor. Strongest at Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh. Beware of JR Hazlewood who owns this matchup.",JR Hazlewood,Not Available,192.6,0.0,0.0,0.0,0,0
J Fraser-McGurk,Not Available,Not Available,Batsman,Top Order Aggressor,"Arun Jaitley Stadium, Delhi > Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Unknown,Not Available,0,Execute standard death-over strategies: wide yorkers and back-of-a-length slower balls.,Vary pace and trajectory. Aim for the rough patches to induce a false shot.,Target this bowler aggressively. High economy rate suggests frequent boundary deliveries. Look for gaps early. ,"J Fraser-McGurk is a Top Order Aggressor. Strongest at Arun Jaitley Stadium, Delhi. Beware of S Sandeep Warrier who owns this matchup.",S Sandeep Warrier,Not Available,189.7,0.0,0.0,0.0,0,0
