Team,Player_Name,Role,Country,Primary_Batting_Phase,Best_to_Worst_Venues,General_Fielding_Position,Loose_Fielding_Position,Total_Dropped_Catches,Clash_Pace_Tactic,Clash_Spin_Tactic,Batting_Against_Him_Tactic,Coach_Tape_Suggestion,Primary_Threat_Bowler,Primary_Nightmare_Batter,Overall_Bat_SR,Pressure_Bat_SR_Death,Overall_Bowl_Econ,Pressure_Bowl_Econ_Death,Wickets,Balls_Bowled
Chennai Super Kings,Ruturaj Gaikwad,Batsman,India,Middle Order Anchor,Neutral Venues,Cover / Boundary,,0.0,Bowl standard lines and build pressure.,Restrict boundaries and use flight.,Rotate the strike and wait for bad balls.,Review standard match footage.,,,0.0,0.0,9.0,10.0,0.0,0.0
Chennai Super Kings,MS Dhoni,Wicketkeeper,India,Death Over Finisher,"MA Chidambaram Stadium, Chepauk > Maharashtra Cricket Association Stadium > M Chinnaswamy Stadium > Eden Gardens",Unknown,Wicketkeeper,1.0,Target primary weakness: Exploit raw pace. Use well-directed bouncers at the body and yorkers to trap them.,Alternate Tactic (Spin): Toss it up wide of off-stump. Force them to generate their own power by taking the pace off.,Target this bowler aggressively. High economy rate suggests frequent boundary deliveries. Look for gaps early. ,"MS Dhoni is a Death Over Finisher. Strongest at MA Chidambaram Stadium, Chepauk. Beware of Z Khan who owns this matchup.",Z Khan,Not Available,132.6,166.5,0.0,0.0,0.0,0.0
Chennai Super Kings,Sanju Samson,Wicketkeeper,India,Middle Order Anchor,Neutral Venues,Cover / Boundary,,0.0,Bowl standard lines and build pressure.,Restrict boundaries and use flight.,Rotate the strike and wait for bad balls.,Review standard match footage.,,,0.0,0.0,9.0,10.0,0.0,0.0
Chennai Super Kings,Dewald Brevis,Batsman,South Africa,Top Order Aggressor,Neutral Venues,Cover / Boundary,Not Available,0.0,"Bowl hard lengths to Dewald Brevis, pack the off-side field. Look for early nip-back.",Deploy spinners to restrict scoring zones. Force Dewald Brevis to generate their own power.,Not a regular bowler. Focus purely on strike rotation if they bowl.,Dewald Brevis is a designated Batsman. Deny them width and force them to hit straight down the ground.,Not Available,Not Available,152.0,167.0,0.0,0.0,0.0,0.0
Chennai Super Kings,Ayush Mhatre,Batsman,India,Middle Order Anchor,Neutral Venues,Cover / Boundary,,0.0,Bowl standard lines and build pressure.,Restrict boundaries and use flight.,Rotate the strike and wait for bad balls.,Review standard match footage.,,,0.0,0.0,9.0,10.0,0.0,0.0
Chennai Super Kings,Shivam Dube,All-Rounder,India,Middle Order Anchor,Neutral Venues,Cover / Boundary,,0.0,Bowl standard lines and build pressure.,Restrict boundaries and use flight.,Rotate the strike and wait for bad balls.,Review standard match footage.,,,0.0,0.0,9.0,10.0,0.0,0.0
Chennai Super Kings,Urvil Patel,Wicketkeeper,India,Top Order Aggressor,Neutral Venues,Unknown,Not Available,0.0,Execute standard death-over strategies: wide yorkers and back-of-a-length slower balls.,Vary pace and trajectory. Aim for the rough patches to induce a false shot.,Target this bowler aggressively. High economy rate suggests frequent boundary deliveries. Look for gaps early. ,Urvil Patel is a Top Order Aggressor. Strongest at most grounds.,Not Available,Not Available,194.6,0.0,0.0,0.0,0.0,0.0
Chennai Super Kings,Noor Ahmad,Bowler,Afghanistan,Death Over Finisher,"MA Chidambaram Stadium, Chepauk, Chennai > Narendra Modi Stadium, Ahmedabad > Eden Gardens, Kolkata > M Chinnaswamy Stadium, Bengaluru",Unknown,Not Available,0.0,Execute standard death-over strategies: wide yorkers and back-of-a-length slower balls.,Vary pace and trajectory. Aim for the rough patches to induce a false shot.,"Play out his deliveries on merit and wait for loose balls. Historically, V Suryavanshi completely owns this bowler. Emulate that aggressive footprint.","Noor Ahmad is a Death Over Finisher. Strongest at MA Chidambaram Stadium, Chepauk, Chennai. Keep away from V Suryavanshi who hits them at will.",Not Available,V Suryavanshi,55.6,66.7,7.86,8.05,55.0,1008.0
Chennai Super Kings,Spencer Johnson,Bowler,Australia,Middle Order Anchor,Neutral Venues,Cover / Boundary,,0.0,Bowl standard lines and build pressure.,Restrict boundaries and use flight.,Rotate the strike and wait for bad balls.,Review standard match footage.,,,0.0,0.0,9.0,10.0,0.0,0.0
Chennai Super Kings,Shreyas Gopal,Bowler,India,Middle Order Anchor,Neutral Venues,Cover / Boundary,,0.0,Bowl standard lines and build pressure.,Restrict boundaries and use flight.,Rotate the strike and wait for bad balls.,Review standard match footage.,,,0.0,0.0,9.0,10.0,0.0,0.0
